notebook_name,source_table,source_type,destination_table,destination_type
./dw_card/dw_account_dim.ipynb,bo_acc_account (vc_cms.db),PARQUET,dw_account_dim (vc_data_dwh.db),PARQUET
./dw_card/dw_account_dim.ipynb,bo_acc_balance (vc_cms.db),PARQUET,,
./dw_card/dw_account_dim.ipynb,bo_prd_contract (vc_cms.db),PARQUET,,
./dw_card/dw_account_dim.ipynb,bo_prd_product (vc_cms.db),PARQUET,,
./dw_card/dw_account_dim.ipynb,bo_com_array_element (vc_cms.db),PARQUET,,
./dw_card/dw_account_dim.ipynb,dw_card_product_account_dim (vc_data_dwh.db),PARQUET,,
./dw_card/dw_account_dim.ipynb,dw_product_dim (vc_data_dwh.db),PARQUET,,
./dw_card/pro_corecard_csore_fct.ipynb,ods_user_scorecard_risk_7_cscore_6m (vc_osystem.db),PARQUET,,
./dw_card/dwa_fe_card_status_tmp.ipynb,fe_cref_tab (vc_cms.db),PARQUET,dwa_fe_card_status_tmp (vc_data_dwh.db),PARQUET
./dw_card/dw_card_dim_before_merger.ipynb,bo_iss_card_instance (vc_cms.db),PARQUET,,
./dw_card/dw_card_dim_before_merger.ipynb,bo_iss_card (vc_cms.db),PARQUET,,
./dw_card/dw_card_dim_before_merger.ipynb,bo_iss_cardholder (vc_cms.db),PARQUET,,
./dw_card/dw_card_dim_before_merger.ipynb,dw_account_dim (vc_data_dwh.db),PARQUET,,
./dw_card/dw_card_dim_before_merger.ipynb,dwa_appl_gl_object_mapping_dim (vc_data_dwh.db),PARQUET,,
./dw_card/dw_card_dim_before_merger.ipynb,dw_card_transaction_fct (vc_data_dwh.db),PARQUET,,
./dw_card/dw_card_dim_before_merger.ipynb,bo_iss_card_number (vc_cms.db),PARQUET,,
./dw_card/dw_card_dim_before_merger.ipynb,bo_prd_contract (vc_cms.db),PARQUET,,
./dw_card/pro_acc_daily_mad.ipynb,bo_cst_cfc_periodic_mad (vc_cms.db),PARQUET,pro_acc_daily_mad (vc_data_dwh.db),PARQUET
./dw_card/pro_acc_daily_mad.ipynb,,,pro_acc_daily_mad_back_up (vc_data_dwh.db),PARQUET
./dw_card/dw_account_term_dim.ipynb,dw_card_dim (vc_data_dwh.db),PARQUET,dw_account_term_dim (vc_data_dwh.db),PARQUET
./dw_card/dw_card_loan_fct.ipynb,dw_card_loan_fct (vc_data_dwh.db),PARQUET,dw_card_loan_fct (vc_data_dwh.db),PARQUET
./dw_card/dw_card_loan_fct.ipynb,bo_acc_balance (vc_cms.db),PARQUET,,
./dw_card/dw_card_loan_fct.ipynb,bo_crd_invoice (vc_cms.db),PARQUET,,
